symbol,gap,volume,nbTransactionGap,volumeTransactionGap,volatility,nbWave,averageAmplitude,Cluster
pmgpomerium_usdt,0.6529035915290954,-0.25184914059291763,-0.3423620657663443,-0.27066744184871994,-0.3469400927461951,0.04088746712722701,-0.17531616591660237,0
netz_usdt,-0.5381888658261741,-0.25003611450461677,-0.3550002812793276,-0.27466691347840627,-0.4047686440070019,-0.557821872950025,-0.08177353015076087,0
mf_usdt,-0.5516693517883083,-0.2506788943565516,-0.3550002812793276,-0.27466691347840627,-0.9076460148480342,-1.5756277510813537,-0.3585932711837261,0
aits_usdt,0.9795638110369994,-0.2521246303104656,-0.3550002812793276,-0.27466691347840627,-0.15376949043130866,-0.048918933884360805,-0.043369643988009826,0
msp_usdt,0.2682966027387722,0.35404906267292474,0.07469904616210453,0.46230965181813133,3.805631004029687,-0.048918933884360805,6.3258801737736885,2
mts_usdt,0.2410495844054988,-0.25150493926474493,-0.3423620657663443,-0.2695560779595251,-0.07459414002036793,0.5198549391890287,-0.146689363250789,0
babygrok_usdt,-0.10166700970171612,-0.25208089576297443,-0.3550002812793276,-0.27466691347840627,-0.541133794793182,-0.6775637409654756,-0.09857756385436259,0
dny_usdt,-0.5400272016443757,-0.11593025927820141,-0.3550002812793276,-0.27466691347840627,-0.8254015768886765,-1.3960149490581781,-0.3293191323452477,0
mtc_usdt,0.10372601698480673,-0.23235672915997313,0.6560569597593362,0.2987969398819307,0.649784457428176,1.3879834823010442,-0.08198905082610294,0
zeta_usdt,-0.6035092118894012,-0.20568418012964637,-0.32972385025336104,-0.26989551922190913,-0.6438861889823224,-0.4081445379307121,-0.2852999383842153,0
coon_usdt,1.2554335376306152,-0.2427539468910898,0.46648372706458674,0.1223244721015241,2.5678982789267026,0.6395968072044791,0.3103906711546129,3
mmui_usdt,0.215942436871034,-0.19829621968550432,0.5928658821944197,0.2891942116436738,-0.383485466969786,0.729403208216067,-0.23916746823941717,0
alita_usdt,2.7263795573910667,-0.25210855920477726,-0.3550002812793276,-0.27466691347840627,-0.9746651368794998,-1.5157568170736284,-0.2050558560171368,3
qrl_usdt,0.5640632697853578,-0.24465678858420567,-0.2791709882014278,-0.2552272652192147,-0.3127566143324262,-0.0189834668804982,-0.17445476498066884,0
bidz_usdt,-0.3130855802364156,-0.20138198124482126,0.18844298577895421,-0.17840565303335282,-0.43753213541279073,-0.07885440088822342,-0.2320393816128201,0
